STATE,STATE_FIPS,COUNTY,COUNTY_FIPS,YEAR,POP,RACE_WHT,RACE_BLK,RACE_NTV,RACE_ASN,RACE_2P,RACE_LTN,INCOME,POVERTY
Texas,48,Kaufman County,257,2000,71313,0.6999004389101566,0.10532441490331357,0.006127914966415661,0.06146144461739094,0.01605597857333165,0.11112980802939156,18825.18790402872,0.10254792253866757
Texas,48,Kaufman County,257,2010,103350,0.6214610546686018,0.10382196419932269,0.0071794871794871795,0.0749395258829221,0.022805999032414127,0.16979196903725205,24805.675629926973,0.1255501281617256
Texas,48,Kaufman County,257,2019,123804,0.599277890859746,0.11842912991502698,0.003610545701269749,0.039473684210526314,0.024966883137863074,0.21424186617556784,28634.08855125844,0.11356673602123232
Texas,48,Kendall County,259,1980,10635,0.8573577809120827,0.001222378937470616,0.005641748942172073,0.0035731076633756464,0,0.13220498354489893,7146.7851433944525,0.12844381758345086
Texas,48,Kendall County,259,1990,14589,0.7738707245184728,0.003975598053327849,0.004866680375625472,0.0533278497498115,0,0.16395914730276234,13421.476866132018,0.15011309891013777
Texas,48,Kendall County,259,2000,23743,0.7496525291664912,0.0034957671734827107,0.005601651012930127,0.04683485658931053,0.015499305058332982,0.17891589099945246,24618.38339721181,0.10289348439540075
Texas,48,Kendall County,259,2010,33410,0.7024842861418736,0.004998503442083208,0.005567195450463933,0.06327446872193954,0.019275665968272973,0.20439988027536665,35992.34212475922,0.07838198251592829
Texas,48,Kendall County,259,2019,43769,0.6599648152802211,0.005780346820809248,0.004866457995384862,0.04759076058397496,0.04304416367748863,0.23875345564212114,45865.50065114579,0.055794686661112654
Texas,48,Kenedy County,261,1980,543,0.1712707182320442,0,0,0,0,0.8287292817679558,10078,0.34806629834254144
Texas,48,Kenedy County,261,1990,460,0.034782608695652174,0,0,0.1782608695652174,0,0.7869565217391304,9212,0.21304347826086956
Texas,48,Kenedy County,261,2000,414,-0.14492753623188406,0.007246376811594203,0.007246376811594203,0.32367149758454106,0.016908212560386472,0.7898550724637681,17959,0.1473429951690821
Texas,48,Kenedy County,261,2010,416,0.10817307692307693,0.01201923076923077,0.014423076923076924,0.06971153846153846,0.028846153846153848,0.7668269230769231,16033,0.2838137472283814
Texas,48,Kenedy County,261,2019,568,0.051056338028169015,0,0,0.0017605633802816902,0,0.9471830985915493,15211,0.05457746478873239
Texas,48,Kent County,263,1980,1145,0.9056768558951965,0.016593886462882096,0,0,0,0.0777292576419214,6154.514410480349,0.18340611353711792
Texas,48,Kent County,263,1990,1010,0.7742574257425743,0.005940594059405941,9.900990099009901e-4,0.1,0,0.1188118811881188,10078.440594059406,0.21089108910891088
Texas,48,Kent County,263,2000,859,0.8637951105937136,0.002328288707799767,0.0034924330616996507,0.037252619324796274,0.002328288707799767,0.09080325960419092,17531.915017462165,0.0989522700814901
Texas,48,Kent County,263,2010,808,0.7834158415841584,0.009900990099009901,0.008663366336633664,0.03589108910891089,0.013613861386138614,0.1485148514851485,22948.84800965018,0.05910735826296743
Texas,48,Kent County,263,2019,647,0.7743431221020093,0.00927357032457496,0.02009273570324575,0.05100463678516229,0.00463678516228748,0.14064914992272023,30543.329211746524,0.1447587354409318
Texas,48,Kerr County,265,1980,28780,0.8334954829742877,0.02567755385684503,0.003370396108408617,0.002710215427380125,0,0.13474635163307852,7336.302953439889,0.12004864489228631
Texas,48,Kerr County,265,1990,36304,0.7395328338475099,0.022173865138827676,0.0035257822829440283,0.06966174526223005,0,0.16510577346848831,12898.466146981049,0.14408880564125165
Texas,48,Kerr County,265,2000,43653,0.6975236524408402,0.017776556021350195,0.005589535656197742,0.07156438274574485,0.01619590864316313,0.19134996449270383,19766.233821272308,0.13914278514649622
Texas,48,Kerr County,265,2010,49625,0.636977329974811,0.01781360201511335,0.007153652392947104,0.0770176322418136,0.021340050377833753,0.23969773299748112,26432.79277931634,0.13452869473811882
Texas,48,Kerr County,265,2019,51843,0.61443203518314915,0.014756090504021758,0.0060953262735567,0.07053989931138244,0.024824952259707194,0.2693516964681828,32988.42620990297,0.11705685618729098
Texas,48,Kimble County,267,1980,4063,0.8259906473049471,0,0,0,0,0.1740093526950529,5575.677824267782,0.15579620969726804
Texas,48,Kimble County,267,1990,4122,0.6991751576904416,4.8520135856380397e-4,0.0012130033964095099,0.11183891314895682,0,0.18728772440562833,11362.554585152839,0.19141193595342068
Texas,48,Kimble County,267,2000,4468,0.6956132497761862,8.952551477170994e-4,0.0033572068039391225,0.07945389435989257,0.01342882721575649,0.20725156669650852,17130.347358997315,0.18531781557743957
Texas,48,Kimble County,267,2010,4607,0.6813544606034295,0.003907097894508357,0.00824831777729542,0.06425005426524853,0.008465378771434773,0.23377469068808335,26859.259340179156,0.15512344330347388
Texas,48,Kimble County,267,2019,4373,0.7029499199634118,0.010976446375485937,0.002515435627715527,0.03681683055110908,0.028813171735650584,0.21792819574662703,30098.80974159616,0.22263279445727482
Texas,48,King County,269,1980,425,0.851764705882353,0.04941176470588235,0.002352941176470588,0,0,0.09647058823529411,5511,0.16
Texas,48,King County,269,1990,354,0.7457627118644068,0,0,0.10451977401129943,0,0.1497175141242938,12027,0.07344632768361582
Texas,48,King County,269,2000,356,0.8455056179775281,0,0.011235955056179775,0.03089887640449438,0.016853932584269662,0.09550561797752809,12321,0.18820224719101122
Texas,48,King County,269,2010,286,0.8006993006993007,0,0.01048951048951049,0.038461538461538464,0.013986013986013986,0.13636363636363635,32356,0.04405286343612335
Texas,48,King County,269,2019,237,0.6582278481012658,0,0,0.012658227848101266,0,0.3291139240506329,26199,0.10548523206751055
Texas,48,Kinney County,271,1980,2279,0.3760421237384818,0.035103115401491886,0.008775778850372971,0.005265467310223783,0,0.5748135146994295,4146,0.35322509872751207
Texas,48,Kinney County,271,1990,3119,0.37704392433472267,0.01827508816928503,0.00833600512984931,0.09297851875601154,0,0.5033664636101315,7931,0.28342417441487655
Texas,48,Kinney County,271,2000,3379,0.2530334418467002,0.016868896123113347,0.0032554010062148565,0.187333530630364,0.03432968333826576,0.5051790470553418,15350,0.23823616454572358
Texas,48,Kinney County,271,2010,3598,0.32879377431906615,0.014730405780989438,0.007226236798221234,0.0717065036131184,0.02056698165647582,0.556976097832129,16829,0.2825965304980414
Texas,48,Kinney County,271,2019,3659,0.3694998633506423,0.001366493577480186,2.7329871549603714e-4,0.03580213172998087,2.7329871549603714e-4,0.5927849139109046,23934,0.19594594594594594
Texas,48,Kleberg County,273,1980,33358,0.41792073865339646,0.03987049583308352,0.0032675819893278973,0.017087355357035792,0,0.5218538281671563,5577.581689549733,0.20507824210084538
Texas,48,Kleberg County,273,1990,30274,0.07006011759265376,0.0329655810266235,0.002675563189535575,0.2822554006738455,0,0.6120433375173416,9577.915240800687,0.2619079077756491
Texas,48,Kleberg County,273,2000,31549,0.06466132048559384,0.03699007892484706,0.006085771339820596,0.20571174997622746,0.03248914387143808,0.6540619354020729,13541.159751497671,0.2544613141462487
Texas,48,Kleberg County,273,2010,32061,0.09740806587442688,0.037459842175852284,0.0061133464333614045,0.13355790524313027,0.023829574872898537,0.7016312654003306,19454.294565387627,0.2377133907595928
Texas,48,Kleberg County,273,2019,30974,0.15648608510363532,0.032866274940272486,0.0021953896816684962,0.057176987150513336,0.02247045909472461,0.7288048040291858,22645.996254923484,0.2717645440792188
Texas,48,Knox County,275,1980,5329,0.7502345655845374,0.0707449802964909,5.62957402889848e-4,0.0015012197410395947,0,0.1769562769750422,6832.800337774442,0.2240570463501595
Texas,48,Knox County,275,1990,4837,0.5534422162497415,0.06987802356832748,0.001447178002894356,0.15029977258631383,0,0.22493280959272277,9241.757287574943,0.23134174074839778
Texas,48,Knox County,275,2000,4253,0.4925934634375735,0.06912767458264754,0.010815894662591112,0.1509522689865977,0.025628967787444158,0.250881730543146,13445.454502703973,0.22149071243827886
Texas,48,Knox County,275,2010,3719,0.4681365958591019,0.05754235009411132,0.0056466792148427,0.14304920677601507,0.029577843506318903,0.29604732454961014,19634.80581739833,0.20468623754376514
Texas,48,Knox County,275,2019,3705,0.50472334682861,0.05560053981106613,0.0024291497975708503,0.06828609986504723,0.02564102564102564,0.34331983805668015,23146.50931174089,0.14981797815737888
Texas,48,Lamar County,277,1980,42156,0.8341635828826265,0.14885188348040612,0.005028940127146788,0.002965176961761078,0,0.008990416548059588,5578.011267672455,0.1924044026947528
